Apa Bedanya Charger iPhone Orisinal dan KW,"KOMPAS.com - Hasil penyelidikan sementara mengungkapkan bahwa kasus fatal yang menimpa mantan pramugari China Southern Airlines Ma Ailun kemungkinan disebabkan oleh charger iPhone palsu yang menyetrum perempuan muda itu saat sedang menelepon. Hal tersebut tentu menimbulkan kekhawatiran terkait keamanan alat pengisi baterai iPhone yang bukan resmi dibuat oleh Apple. Tapi apa tepatnya perbedaan antara charger ""KW"" alias palsu dengan charger original yang membuatnya bisa membawa maut?Ken Shirrif dari blog elektro Righto.com membedah sejumlah charger gadget untuk melihat komponen apa saja yang terdapat di dalamnya dan seperti apa kualitas output listrik yang dihasilkan. Di antara  selusin charger yang dijadikan obyek penelitian, terdapat charger iPhone ""ori"" atau asli dan yang palsu.Serupa tapi tak samaDari luar, bentuk charger iPhone asli  dan palsu ibarat pinang dibelah dua. Rupa kedua alat itu sangat mirip dari segala sisi. Namun, jika diperhatikan benar-benar, terdapat perbedaan dalam tulisan spesifikasi di bagian bawah, di mana charger asli menyebut ""Designed by Apple in California"", sementara charger palsu menulis kalimat membingungkan ""Designed By California"". Contoh charger palsu (kanan) pada gambar di bawah juga tidak mencantumkan keterangan ""Apple Japan"".Shirrif menduga kata ""Apple"" terpaksa dihilangkan oleh si pembuat charger palsu untuk menghindari masalah hukum atau merek dagang. Tapi, dia juga menyebutkan bahwa ada pula charger palsu yang mengklaim ""Designed by Apple"". Charger palsu ada bermacam-macam? Tentu saja, karena pihak pembuatnya pun tak hanya satu.Ketika kedua charger dibuka, nyatalah bahwa kualitas charger asli dan palsu benar-benar berbeda. Untuk mengubah input AC 100-240 volt menjadi output 5 volt 1 Ampere, charger asli dari Apple menggunakan komponen pemasok daya flyback switching canggih.
Ken Shirriff/ Righto.com Komponen internal charger iPhone asli dilengkapi controller IC, flyback transformer, serta kapasitor khusus untuk meredam interferensi sinyal
Charger iPhone ini adalah pemasok data tipe switching di mana listrik input dihidup-matikan (switching) sebanyak 70.000 kali per detik untuk mendapatkan voltase keluaran yang sesuai. Begitu selesai dikonversi menjadi voltase rendah oleh transformer jenis flyback, aliran listrik kemudian difilter agar bebas interferensi dan diubah menjadi arus searah (DC).Hasilnya? Charger iPhone asli mampu menghasilkan output sesuai spesifikasi, yaitu 5 volt 1 ampere, yang stabil dan relatif bebas dari fluktuasi dan spike (lompatan voltase secara tiba-tiba dalam waktu singkat).Grafik osiloskop di bawah memperlihatkan sinyal voltase output charger iPhone asli (kuning) dan spektrum frekuensinya (oranye). Window sebelah kiri menunjukkan hasil monitoring frekuensi tinggi dari voltase output, sementara window sebelah kanan memperlihatkan informasi frekuensi rendah.
Ken Shirriff/ Righto.com Grafik osiloskop keluaran daya dari charger iPhone asli
Idealnya, grafik voltase (kuning) harus setipis dan selandai mungkin, sementara frekuensi spektrum (oranye) harus serapat mungkin dengan sisi bawah. Charger asli Apple di sini menghasilkan output yang sangat baik.Bagaimana dengan output yang dihasilkan charger palsu? Shirrif mencatat bahwa keluaran daya charger ""KW"" yang berada di tangannya ini tak sesuai dengan spesifikasi, yaitu hanya 2,7 watt dari seharunysa 5 watt (5 volt x 1 ampere). Namun bukan hanya itu, monitoring osiloskop juga memperlihatkan bahwa charger ini menghasilkan kualitas output yang sangat buruk, dengan noise dan riak sinyal (ripple) yang parah. Bukan hanya tak sesuai spesifikasi, output dari charger iPhone palsu juga berpotensi merusak perangkat smartphone yang dihubungkan dengannya.
Ken Shirriff/ Righto.com Grafik osiloskop keluaran daya charger iPhone palsu
Tidak standar dan mematikanMengapa daya keluaran charger iPhone palsu bisa begitu buruk? Hal ini tak lain dan tak bukan disebabkan oleh kualitas komponen yang dipakai. Untuk menekan harga, charger iPhone palsu yang bisa diperoleh hanya dengan kisaran beberapa dollar AS banyak melakukan kompromi material.Yang lebih berbahaya lagi, seperti disebut oleh Shirrif, produk-produk charger palsu kerap tak mengindahkan standar keamanan Underwriters Laboratories (UL) soal insulasi antara sirkuit listrik input dan output yang mencegah terjadinya kebocoran listrik dari aliran masuk ke aliran keluar.
Ken Shirriff/ Righto.com Komponen flyback transformer pada charger iPhone asli menggunakan kawat
Jarak antara dua sirkuit input dan output pada charger seharusnya 4mm atau lebih. Tetapi, pada charger iPhone palsu, kedua sirkuit itu kerap kali hanya dipisahkan jarak 1mm. Padahal, di dalam charger, tegangan listrik bisa mencapai 340 volt, cukup untuk membunuh seseorang jika terjadi ""loncatan"" antar sirkuit.Mengenai kematian Ma Ailun yang disinyalir terjadi akibat pemakaian charger iPhone palsu, Shirrif berspekulasi bahwa hal tersebut bisa diakibatkan oleh hubungan pendek yang mengirim listrik dengan voltase mematikan lewat kabel USB.Apabila pengguna ketika itu kebetulan menutup sirkuit -misalnya, dengan berdiri di atas lantai yang lembap/ basah atau menyentuh permukaan logam yang di-ground- maka ia bisa tersetrum. Kondisi ini bisa diperparah dengan lingkungan berkelembapan tinggi (seperti di dalam kamar mandi), yang memperbesar kemungkinan terjadi kondensasi uap air di dalam charger.Produk-produk charger yang asli dibikin oleh produsen gadget yang bersangkutan biasanya sudah menerapkan standar-standar keamanan untuk memperkecil kemungkinan terjadi hal seperti ini.Murah atau selamat?Charger Apple sendiri memang tergolong mahal dibandingkan alat-alat sejenis bikinan produsen lain. Setelah melihat komponen-komponen apa saja yang terdapat di dalam charger yang dibongkar olehnya, Shirriff menduga bahwa Apple menarik margin profit yang besar dari penjualan charger iPhone.Sebagai pembanding, charger dari Samsung yang sekelas dijual dengan harga kisaran 6-10 dollar AS. Tetapi charger iPhone dijual dengan harga jauh lebih tinggi, mencapai 30 dollar AS. Adapun charger iPhone palsu bisa diperoleh dengan kisaran harga hanya 3 dollar AS.Kasus kematian Ma Ailu memang masih dalam penyelidikan polisi. Penyebabnya pun belum tentu rentetan kejadian seperti diuraikan di atas. Namun, ada baiknya menghindari pemakaian charger palsu yang boleh jadi menyimpan risiko mematikan, ketimbang ingin berhemat tapi malah membahayakan perangkat atau bahkan nyawa sendiri. Pilih murah atau selamat?",22 Juli 2013
Cara Membedakan Ponsel Xiaomi KW dan Asli,"JAKARTA, KOMPAS.com - Sebagai pemain baru di industri smartphone Indonesia, nama Xiaomi sudah lumayan tenar. Pasalnya, vendor asal Tiongkok tersebut menawarkan smartphone berbanderol murah dengan spesifikasi di atas rata-rata perangkat di kelas yang sama.Ketenaran Xiaomi ini pun dimanfaatkan oleh pihak-pihak yang ingin mencari keuntungan, tetapi tidak dengan cara yang benar. Salah satunya adalah dengan membuat dan menjual smartphone Xiaomi tiruan.Uniknya, ponsel Xiaomi ""KW"" tersebut benar-benar mirip dengan aslinya. Memang ada beberapa perbedaan minor di antara keduanya. Namun, jika dilihat secara sepintas, sangat sulit untuk membedakan antara yang asli dan palsu.Lantas, bagaimana cara mengecek keaslian dari ponsel Xiaomi? Cara termudah adalah dengan menggunakan tools atau aplikasi pengecekan buatan Xiaomi sendiri. Anda hanya perlu masuk ke situs https://jd.mi.com lewat browser di PC atau laptop.Kemudian, download saja file APK yang sudah tersedia di situs ini. Setelah itu, pasang aplikasi tersebut di ponsel Xiaomi yang mau dicek keasliannya dan jalankan setelah proses instalasi selesai.Sekadar catatan, Anda mungkin harus mengaktifkan mode instalasi aplikasi dari sumber di luar Google Play Store. Di perangkat Xiaomi, mode itu bisa ditemukan di bagian Settings; Additional Settings; Privacy; dan pilih Unknown Sources.Refresh situs web https://jd.mi.com, kemudian arahkan ponsel ke kode QR. Arahkan hingga proses pemeriksaan selesai. Seusai itu, situs web akan memberikan informasi apakah ponsel Xiaomi yang diuji asli atau tidak.Sayangnya, tools tersebut hanya bekerja untuk ponsel Xiaomi terbaru saja, seperti Mi 4 dan Mi 4i. Seri ponsel Xiaomi lawas, seperti Redmi 1S dan Redmi 2, tidak didukungnya.Cara pengecekan lainNamun, tidak perlu panik, karena masih ada beberapa langkah yang bisa dilakukan untuk menguji keaslian perangkat Xiaomi. Dalam postingan blog milik Prasetyo Herfianto, salah satu korban perangkat Xiaomi palsu, ada beberapa langkah mudah untuk pengecekan tersebut.Cara pertama adalah dengan melakukan factory reset atau menghapus semua data yang ada. Tampaknya, si peniru perangkat berhasil membuat software yang ""mampu"" menipu aplikasi benchmark, seakan produk ini menggunakan spesifikasi yang sama dengan aslinya.Dengan factory reset, software tersebut akan terhapus dan aplikasi-aplikasi benchmark dapat mengenali dan mengidentifikasi hardware sebenarnya,Setelah itu, gunakan tiga aplikasi benchmark ini, yakni Antutu, CPU-Z, dan Sensor Box. Perhatikan secara mendetail, apakah spesifikasi yang dibekali di perangkat benar-benar sama dengan aslinya atau tidak. Pastikan juga jumlah sensor yang dimiliki benar.Cara lainnya adalah dengan mengecek versi sistem operasi. Biasanya, perangkat Xiaomi dirilis menggunakan MIUI, nama tampilan antarmuka buatan Xiaomi, versi stabil. Jika ditulis masih Beta, ada kemungkinan itu perangkat palsu.Pengguna juga bisa melakukan pencarian di internet, versi MIUI yang tercantum di perangkat. Jika tidak ditemukan, bisa jadi produk tersebut palsu.Anda juga bisa mengecek hasil foto, resolusi, dan apertur dari kamera yang ada di perangkat Xiaomi. Pastikan sesuai dengan spesifikasi resmi perangkat. Satu hal yang harus diingat, meski perangkat mampu menghasilkan gambar yang baik, belum tentu produk tersebut asli.Satu hal yang tidak kalah penting, cek IMEI dan serial number. Pastikan kedua informasi tersebut sesuai dengan kotak penjualan. Dalam kasus yang dialami Prasetyo, nomor IMEI perangkat sesuai dengan kotak, tetapi serial numbernya berbeda.",8 September 2015
Stop Cara Hemat Baterai Android seperti Ini,"KOMPAS.com — Sebagian besar pengguna Android menganggap bahwa membersihkan recent apps alias deretan aplikasi yang sedang dibuka, bisa membantu menghemat baterai ponsel. Efektifkah cara ini?Recent apps merupakan daftar panjang aplikasi yang bisa diakses melalui tombol menu di ponsel Android. Aplikasi yang masuk ke dalam daftar tersebut sering kali dianggap masih bekerja.Padahal sebenarnya, aplikasi di recent apps berada dalam kondisi berhenti dan disimpan dalam memori (cache) ponsel. Tujuannya agar aplikasi yang pernah dibuka sebelumnya itu bisa dimuat lebih cepat saat dibuka kembali.Karena itu, menghapus recent apps di ponsel Android justru akan membuat baterai ponsel bekerja lebih keras dan cepat habis. Baterai pun akan bekerja lebih keras dan cepat habis terlebih jika aplikasi yang dihapus tergolong berat. Sebab, sistem akan membuka aplikasi dari nol dan membutuhkan lebih banyak tenaga ketimbang menyalakan ulang atau mengakses memori yang disimpan.Jika ingin menghemat baterai Android, sebaiknya tidak menggunakan metode menghapus recent apps seperti di atas. Ada dua cara yang bisa dilakukan pemilik ponsel Android, yaitu mengurangi notifikasi dan membatasi pemakaian data.Dilansir KompasTekno dari Cnet, Jumat (15/4/2016), dua cara tersebut cenderung lebih efektif untuk mengurangi konsumsi daya baterai.Untuk mengurangi notifikasi, non-aktifkan aplikasi-aplikasi yang sering mengirimkan notifikasi. Aplikasi tertentu, seperti media sosial, biasanya memberikan pilihan untuk mengatur agar notifikasi dikirimkan dalam interval waktu lebih lama.Cara ini bisa membantu menghemat baterai karena mengurangi aktivitas sinkronisasi yang dilakukan di latar belakang sistem (background).Sementara itu, untuk membatasi pemakaian data, buka panel yang berisi tabel konsumsi data di perangkat Android. Dari panel tersebut, pengguna bisa melihat aplikasi yang paling banyak memakan data.Pilih aplikasi tersebut kemudian batasi atau hapus izin pemakaian data di background. Cara demikian akan melarang aplikasi untuk memakai koneksi internet secara otomatis. Baterai pun bisa menjadi lebih hemat.Tentu saja, yang paling efektif adalah membawa power bank, sekaligus menerapkan kedua cara di atas. Dengan demikian, ponsel bisa digunakan dalam waktu yang lebih lama, dan Anda tetap memiliki cadangan daya saat muatan baterai sudah habis.",15 April 2016
6 Cara Menghemat Baterai Smartphone,"KOMPAS.com — Perangkat smartphone yang beredar di pasaran saat ini rata-rata sudah dilengkapi dengan baterai berkapasitas besar. Namun, risiko kehabisan baterai saat berada di tengah jalan tetap tinggi.Kehabisan baterai pada momen-momen penting terkadang memang menyebalkan. Namun, sebenarnya ada banyak cara yang bisa dilakukan untuk menghemat baterai.Berikut beberapa cara mudah untuk menghemat daya baterai yang dikutip KompasTekno dari berbagai sumber.1. Matikan sinyal radioSering kali, di beberapa daerah tertentu, smartphone bisa kehilangan sinyal. Hal tersebut dapat terjadi karena menara pemancar sinyal berada jauh dari lokasi smartphone atau trafiknya sedang penuh.Apabila sinyal hilang atau melemah, sistem smartphone biasanya akan terus mencari koneksi terbaik. Pencarian sinyal secara terus menerus dapat membuat baterai habis dengan cepat.Oleh karena itu, sebaiknya matikan saja sinyal radio, jika pengguna benar-benar yakin tidak akan mendapatkan sinyal dalam beberapa waktu. Biasanya, pilihan untuk mematikan sinyal radio terdapat di menu ""Setting"".Matikan juga fitur WiFi dan Bluetooth apabila sedang tidak digunakan. Kedua perangkat tersebut juga dapat membuat baterai smartphone cepat habis.2. Aktifkan Airplane ModeTidak mau terlalu repot-repot dalam mengatur sinyal? Pengguna dapat dengan mudah mematikan semua sinyal radio yang ada di smartphone hanya dengan sebuah mode, yaitu Airplane Mode.Dengan menyalakan Airplane Mode, semua sinyal radio, baik GSM, WiFi, maupun Bluetooth, akan langsung dimatikan.3. Matikan fitur getar (vibrate)Fitur getar terkadang dapat sangat membantu apabila ada panggilan telepon atau pesan yang masuk pada saat pengguna sedang rapat atau di tempat lain yang membutuhkan ponsel dalam keadaan silent.Namun, sebenarnya fitur getaran ini membutuhkan daya baterai lebih banyak dibandingkan ringtone biasa. Berdasarkan fakta tersebut, apabila pengguna sedang tidak membutuhkan fitur ini, sebaiknya matikan fitur getar yang ada di smartphone.4. Tutup aplikasi yang jarang dipakaiAda banyak aplikasi yang jarang dipakai. Sebagai contoh, aplikasi pengecekan skor pertandingan sepak bola Livescore. Kemungkinan besar, aplikasi tersebut hanya dipakai satu minggu sekali pada saat sedang ada pertandingan. Nah, sebaiknya tutup aplikasi yang jarang dilihat seperti itu. Sebab, sebenarnya aplikasi itu tetap berjalan di background, meski Anda tidak melihatnya sepanjang satu minggu itu. Berjalan di background berarti tetap memerlukan daya pemrosesan.  Sebaliknya, jangan tutup aplikasi yang sering digunakan karena ini malah berpotensi memboroskan baterai. Saat sebuah aplikasi dimatikan, data-data program bersangkutan dihapus dari memori (RAM). Ketika aplikasi itu kemudian dipanggil lagi, perangkat terpaksa ""memanggil ulang"" data-data yang diperlukan dan menyimpannya di dalam RAM. Ini membutuhkan pemrosesan sistem.Memang berjalan di background berarti menyerap baterai, tetapi tidak akan menghabiskan baterai sebesar saat pengguna menutup dan membuka sebuah aplikasi secara berulang-ulang. 5. Jangan ""streaming""Ingin mendengarkan musik atau menonton video? Jika ya, sebaiknya simpan kedua jenis data tersebut di media penyimpanan yang ada.Kurangi kegiatan streaming apabila tidak ingin baterai habis dengan cepat. Menonton video atau mendengarkan musik via YouTube memang menyenangkan, tetapi kegiatan ini akan ""memaksa"" sistem ponsel terus bekerja dan akhirnya membuat baterai cepat habis.  6. Redupkan layarSemakin cerah tampilan layar, maka semakin cepat baterai habis. Oleh karena itu, redupkan atau matikan layar apabila sedang tidak digunakan.Punya tips menjaga daya tahan baterai lainnya? Mari berbagi melalui fitur komentar yang ada di bawah ini.",25 April 2016
10 Aplikasi Gratis untuk Bikin Foto Makin Kinclong di Android,"KOMPAS.com - Menjepret foto sudah menjadi bagian dari kehidupan sehari-hari para pengguna smartphone. Ponsel-ponsel pintar masa kini pun mampu menghasilkan tangkapan gambar yang tak kalah memukau dari kamera digital.Meski hasil awalnya sudah bagus, foto tentu akan lebih kinclong lagi apabila dipermak melalui aplikasi penyunting gambar.Untuk hal yang satu ini, pemilik ponsel Android memiliki banyak pilihan aplikasi photo editing yang tersedia dan bisa dicoba. Nah, barangkali bisa mempermudah pencarian, KompasTekno menelusuri berbagai sumber untuk menyusun daftar 10 apikasi photo editing populer di platform Android. Semuanya bisa diperoleh secara gratis, tetapi memiliki kemampuan yang mumpuni! Untuk mengunduh aplikasi yang bersangkutan, silakan klik tautan di bagian subjudul.1. Google PhotosAndroid Central Tampilan aplikasi Google PhotosSetelah sempat digabungkan dengan Google+, layanan Google Photos kini berdiri secara mandiri, lengkap dengan aplikasinya sendiri tanpa harus diakses melalui Google+.Google Photos datang sebagai aplikasi pre-loaded di sebagian smartphone. Aplikasi ini menawarkan fitur-fitur praktis terkait manajemen foto, seperti cloud backup dan penyortiran otomatis dengan teknologi pengenalan obyek. Di dalamnya juga ada fasilitas editing foto sederhana yang bisa dipakai untuk melakukan touch-up secara cepat. Namun, ragam dan fungsi tool yang tersedia relatif terbatas.2. Layout from InstagramInstagram Tampilan aplikasi Layout from InstagramIngin membuat kolase dari beberapa foto untuk diunggah ke media sosial? Aplikasi Layout yang merupakan spin-off dari layanan photo sharing Instagram bisa membantu mewujudkannya.Layout bisa memuat hingga sembilan foto dalam satu frame. Pengguna dapat memilih jenis tata letak dan menukar-nukar posisi foto hingga merasa puas sebelum membagi hasilnya.Selain Layout, toko aplikasi Play Store banyak menyimpan aplikasi-aplikasi lain dengan fungsi serupa yang telah lebih dahulu hadir.",29 April 2016
Bagaimana Cara Upload Video Instagram 60 Detik,"KOMPAS.com - Fitur video 60 detik di Instagram akhirnya sampai juga di Indonesia. Pengguna Instagram di tanah air sudah bisa membuat dan mengunggah postingan video berdurasi satu menit.Fitur ini sebenarnya sudah dirilis Instagram pada akhir Maret lalu namun belum semua pengguna bisa menikmatinya. Layanan photo sharing Instagram sebelumnya hanya memungkinkan upload dan penayangan video maksimal 15 detik. Pantuan KompasTekno, fitur video 60 detik ini sudah bisa digunakan di Indonesia sejak Kamis (28/4/2016). Sejumlah pengguna Instagram terpantau berkicau soal kehadiran fitur ini dan video-video berdurasi panjang pun sudah beredar di Instagram.Bagaimana cara agar bisa mulai menggunakan fitur video 60 detik di Instagram.Sederhana saja, penguna cukup melakukan update aplikasi Instagram ke versi terbaru. Ini berlaku baik untuk Instagram di platform iOS maupun Android.Untuk memperbarui aplikasi Instagram ke versi teranyar, silakan kunjungi Apple App Store atau Google Play Store.Usai mengunduh Instagram versi terbaru, pengguna bisa langsung merekam video berdurasi 60 detik dan mengunggahnya ke jejaring sosial tersebut.Tak ada hal khusus yang mesti dilakukan. Cukup dengan membuka fitur perekaman video seperti biasa dan mulai merekam dengan menekan dan menahan jari di tombol “record”.Video pun akan mulai terekam dengan progress bar indikator durasi maksimal yang lebih panjang karena batasannya memang telah ditambah dari 15 detik dari 60 detik.Meski baru beredar di Indonesia, sejumlah artis, salah satunya Ayu Ting-ting sudah kebagian fitur video sejak pertama kali dirilis. Ayu Ting-ting bisa disebut sebagai pengguna Instagram pertama di Indonesia yang mengunggah video berdurasi 60 detik.


 
To all my fans and aytinglicious, i will be the first one in Indonesia to be able to upload 60sec video on IG hope you all enjoy ????........???????????? so happy...... senengnya bs upload vidio 60 sec skrg xoxo..... thank u for trusting me @instagram and @replyken ????????????, love Instagram @ayutingtingtv
A video posted by Ayu Tingting (@ayutingting92) on Mar 29, 2016 at 6:06pm PDT",29 April 2016
6 Aplikasi Gratis Pengirit Baterai Android,"KOMPAS.com - Dengan aneka fungsi canggih di dalamnya, smartphone Android telah menjadi alat praktis nan serba guna untuk memenuhi berbagai keperluan. Konsekuensinya, pemakaian baterai pun menjadi boros.Memang, banyak fasilitas yang tersedia untuk mengisi baterai saat sudah hampir habis, seperti powerbank atau colokan listrik di kafe, tetapi ini tak selalu praktis. Nah, untuk menjaga baterai perangkat agar bisa bertahan selama mungkin sebelum repot mencari charger, pengguna Android bisa mencoba 6 aplikasi berikut, seperti dirangkum KompasTekno dari Cnet, Selasa (26/4/2016). 1. GreenifyOasis Feng Screenshot aplikasi GreenifyAlih-alih mematikan aplikasi untuk menghemat baterai, Greenify mengatur aneka program yang berjalan di Android agar memasuki mode hibernasi. Pengguna bisa memilih aplikasi apa saja yang ingin dihibernasikan agar tak menghalangi kerja program penting seperti alarm atau messaging.Ponsel pun membutuhkan lebih sedikit daya untuk “membangunkan” aplikasi yang berhibernasi ketimbang memanggilnya kembali dari awal. Bagi pengguna Android 6.0 Marshmallow, Greenify menyediakan fitur-fitur khusus yang mendompleng fungsi Doze, penghemat daya dari sistem operasi tersebut.Fitur-fitur khusus Marshmallow ini termasuk Agresive Doze yang akan membuat ponsel memasuki mode hibernasi dalam beberapa menit setelah tak lagi dipakai, juga Shallow Hibernation untuk menghentikan sementara (suspend) background process tanpa mematikannya.Klik tautan berikut untuk mengunduh Greenify.",26 April 2016
6 Aplikasi Gratis Pengirit Baterai Android,"2. Go Battery Saver & Power WidgetGo Launcher EX Screenshot Aplikasi GO Battery Saver & Power WidgetAplikasi yang satu ini menawarkan penghematan daya yang beragam dan bisa dipilih. Pengguna bisa mengaktifkan sejumlah preset untuk mengirit daya hingga tingkatan paling ekstrem.Selain itu, disediakan juga pilihan untuk membuat custom mode untuk mengatur sendiri penghematan baterai apa saja yang akan dilakukan.Go Battery Saver & Power Widget memonitor aplikasi untuk menemukan mana di antaranya yang paling memboroskan baterai.Ada pula sebuah widget di homescreen yang bisa digunakan sebagai shortcut, lengkap dengan opsi membeli skin tambahan untuk aplikasi.Klik tautan berikut ini untuk mengunduh Go Battery Saver & Power Widget.",26 April 2016
6 Aplikasi Gratis Pengirit Baterai Android,"3. Avast Battery SaverAvast Software Avast Battery SaverAvast, sang pembuat antivirus, turut menawarkan aplikasi penghemat daya Android yang mampu memprediksi dengan akurat kapan baterai ponsel akan habis.Di dalamnya ada berbagai fitur yang bisa dipakai untuk mengatur aspek-aspek perangkat, seperti Wi-Fi, kecerahan layar, sinkronisasi data, dan vibration yang bisa memboroskan baterai.Ada empat preset (Home, Work, Night, dan Super-Saving Emergency Mode) yang bisa dipilih dan diatur kembali sesuai dengan kebutuhan. Avast Battery Saver bisa pula diatur agar berganti preset penggunaan daya secara otomatis sesuai dengan pergantian situasi ponsel, misalnya ketika berganti Wi-Fi network dari jaringan kantor ke jaringan rumah.Klik tautan ini untuk mengunduh Avast Battery Saver.",26 April 2016
6 Aplikasi Gratis Pengirit Baterai Android,"4. DU Battery Saver & Phone ChargerDu Apps Studio Screenshot aplikasi Du Battery SaverBukan cuma tampilan yang cantik, aplikasi berkonsep simpel ini pun menyediakan aneka setting dan shortcut untuk mempermudah pengguna dalam mengatur konsumsi daya perangkat.DU Battery Saver & Phone Charger bisa melihat aplikasi mana yang boros daya, serta mana yang bisa dimatikan tanpa memengaruhi kinerja.Selain versi yang bisa diperoleh secara cuma-cuma di Google Play, ada juga model berbayar seharga 3 dollar AS yang menjanjikan penghematan daya hingga 70 persen lebih tinggi lewat fitur-fitur tingkat lanjut seperti membersihkan background process yang tidak penting. Klik tautan berikut ini untuk mengunduh DU Battery Saver & Phone Charger.",26 April 2016
